rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1982-1983,gs,359.8018377
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1983-1984,ds,144.3870972
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1983-1984,gs,300.9343702
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1984-1985,ds,166.6774185
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1984-1985,gs,225.0645148
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1985-1986,ds,237.1612909
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1985-1986,gs,449.2741949
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1986-1987,ds,196.8064513
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1986-1987,gs,377.1958533
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1987-1988,ds,100.9354856
