"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1964-1965","gs",14.0044075012208
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1965-1966","ds",26.343350982666
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1965-1966","gs",14.0297142028811
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1966-1967","ds",25.7913337707519
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1966-1967","gs",14.2597728729248
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1967-1968","ds",27.6451736450195
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1967-1968","gs",14.3353248596193
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1968-1969","ds",25.2346511840821
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1968-1969","gs",13.99284324646
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1969-1970","ds",26.180223083496
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1969-1970","gs",12.8378578186037
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1970-1971","ds",25.6795059204103
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1970-1971","gs",13.9428039550782
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1971-1972","ds",27.8678451538087
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1971-1972","gs",15.3248020172119
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1972-1973","ds",23.768872833252
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1972-1973","gs",13.5307479858399
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1973-1974","ds",24.5806480407715
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1973-1974","gs",14.5980773925782
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1974-1975","ds",25.2863632202149
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1974-1975","gs",15.0264526367188
